,Unnamed: 0,id,imdb_id,popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
53,53,274479,tt2446980,2.793297,60000000,101134059,Joy,124,Comedy|Drama,12/24/15,1001,6.4,2015,55199975.7120106,93043293.3409509
54,54,257088,tt2058673,2.614499,105000000,133718711,Point Break,114,Action|Crime|Thriller,12/3/15,505,5.5,2015,96599957.4960187,123021159.990689
55,55,295964,tt2503944,2.584264,20000000,36606743,Burnt,100,Drama,10/2/15,631,6.3,2015,18399991.9040035,33678188.7415969
56,56,238615,tt2140379,2.578919,26000000,30523226,Self/less,116,Science Fiction|Mystery|Thriller,7/10/15,719,6.2,2015,23919989.4752046,28081355.5642035
57,57,210860,tt3045616,2.575711,60000000,30418560,Mortdecai,106,Comedy|Adventure,1/21/15,696,5.3,2015,55199975.7120106,27985062.8865723
58,58,306819,tt0810819,2.557859,15000000,64191523,The Danish Girl,120,Drama,11/27/15,867,7.3,2015,13799993.9280026,59056175.1752829
59,59,201088,tt2717822,2.550747,70000000,17752940,Blackhat,133,Mystery|Crime|Action|Thriller|Drama,1/13/15,584,5.0,2015,64399971.6640124,16332697.613613
60,60,273481,tt3397884,2.487849,30000000,84025816,Sicario,121,Action|Crime|Drama|Mystery|Thriller,9/17/15,1479,7.1,2015,27599987.8560053,77303716.7063646
61,61,166424,tt1502712,2.487042,120000001,167977596,Fantastic Four,100,Action|Adventure|Science Fiction,8/5/15,1565,4.4,2015,110399952.34402,154539320.322699
62,62,310131,tt4263482,2.46449,3500000,40423945,The Witch,92,Mystery|Horror,3/24/15,700,5.8,2015,3219998.58320062,37190013.0363942
63,63,238713,tt3079380,2.404473,65000000,235666219,Spy,120,Action|Comedy|Crime,5/6/15,1840,6.9,2015,59799973.6880115,216812826.082356
64,64,256591,tt2381941,2.395366,50100000,153962963,Focus,105,Romance|Comedy|Crime|Drama,2/25/15,1831,6.7,2015,46091979.7195289,141645863.63582
65,65,249070,tt2679042,2.354654,35000000,82347656,Hitman: Agent 47,96,Action|Crime|Thriller,8/20/15,820,5.5,2015,32199985.8320062,75759810.1856835
66,66,205775,tt1390411,2.345821,100000000,93820758,In the Heart of the Sea,122,Thriller|Drama|Adventure|Action|History,11/20/15,805,6.4,2015,91999959.5200178,86315059.3813738
67,67,334074,tt3247714,2.331636,20000000,0,Survivor,96,Crime|Thriller|Action,5/21/15,280,5.4,2015,18399991.9040035,0.0
68,68,312221,tt3076658,2.331567,35000000,137935567,Creed,133,Drama,11/25/15,1171,7.3,2015,32199985.8320062,126900665.803707
69,69,271718,tt3152624,2.31767,35000000,140795793,Trainwreck,125,Comedy,7/17/15,849,6.1,2015,32199985.8320062,129532072.565888
70,70,333352,tt2057392,2.29573,13000000,32848185,Eye in the Sky,102,Drama|Thriller|War,9/11/15,265,7.2,2015,11959994.7376023,30220316.9030605
71,71,276907,tt3569230,2.28135,25000000,42972994,Legend,131,Crime|Thriller,9/9/15,619,6.7,2015,22999989.8800044,39535137.0845396
72,72,284289,tt2911668,2.272044,0,45895,Beyond the Reach,95,Thriller,4/17/15,81,5.5,2015,0.0,42223.3814217121
73,73,266647,tt3332064,2.234573,150000000,128388320,Pan,111,Adventure|Family|Fantasy,9/24/15,586,5.9,2015,137999939.280026,118117202.42843
74,74,347096,tt3478232,2.165433,0,0,Mythica: The Darkspore,108,Action|Adventure|Fantasy,6/24/15,27,5.1,2015,0.0,0.0
75,75,308369,tt2582496,2.141506,0,0,Me and Earl and the Dying Girl,105,Comedy|Drama,6/12/15,569,7.7,2015,0.0,0.0
76,76,227973,tt2452042,2.140199,99000000,246233113,The Peanuts Movie,88,Adventure|Animation|Comedy|Family,11/5/15,414,6.4,2015,91079959.9248176,226534364.284879
77,77,321741,tt3322364,2.121884,35000000,48623572,Concussion,123,Drama,11/12/15,500,6.9,2015,32199985.8320062,44733666.5571867
78,78,296100,tt3530002,2.096273,25000000,52395996,The Night Before,100,Comedy,11/20/15,363,6.1,2015,22999989.8800044,48204295.1101101
79,79,263472,tt3605418,2.080935,2500000,5214043,Knock Knock,99,Drama|Horror|Thriller,6/26/15,473,4.8,2015,2299998.98800044,4796917.44935632
80,80,228205,tt2726560,2.070708,34000000,63013281,The Longest Ride,128,Romance|Drama,4/9/15,711,7.3,2015,31279986.236806,57972193.012235
81,81,159824,tt2510894,2.060162,80000000,466183544,Hotel Transylvania 2,89,Animation|Comedy|Family,9/21/15,919,6.8,2015,73599967.6160142,428888671.768984
82,82,333348,tt2279339,2.055572,17000000,24000000,Love the Coopers,107,Family|Comedy,11/12/15,111,5.3,2015,15639993.118403,22079990.2848042
83,83,285783,tt3488710,2.049886,35000000,61181942,The Walk,123,Adventure|Drama|Thriller,9/30/15,706,6.8,2015,32199985.8320062,56287361.8735607
84,84,290764,tt2401097,2.026651,11000000,1863315,Tracers,94,Action|Crime|Drama,1/15/15,326,5.9,2015,10119995.5472019,1714249.04573042
85,85,296099,tt1524930,2.000338,31000000,104384188,Vacation,99,Adventure|Comedy,7/28/15,846,6.1,2015,28519987.4512055,96033410.7052992
86,86,243688,tt1029360,1.984529,35000000,95437994,Poltergeist,93,Horror|Thriller,5/20/15,589,5.0,2015,32199985.8320062,87802915.846717
87,87,287424,tt1881002,1.980039,4000000,187112,Maggie,95,Horror,5/8/15,384,5.1,2015,3679998.38080071,172142.964257095
88,88,301875,tt3289728,1.959765,0,2000000,Equals,101,Drama|Romance|Science Fiction,9/4/15,135,5.6,2015,0.0,1839999.19040035
89,89,181283,tt1014763,1.95632,50000000,3324330,Child 44,137,Crime|Thriller,3/15/15,341,5.9,2015,45999979.7600089,3058382.2543118
90,90,328425,tt4178092,1.926739,5000000,58978653,The Gift,108,Thriller|Mystery,7/30/15,631,6.6,2015,4599997.97600089,54260336.8854517
91,91,274167,tt1528854,1.904898,50000000,240360392,Daddy's Home,96,Comedy,12/25/15,568,5.7,2015,45999979.7600089,221131463.342156
92,92,370687,tt3608646,1.876037,0,0,Mythica: The Necromancer,0,Fantasy|Action|Adventure,12/19/15,11,5.4,2015,0.0,0.0
93,93,307663,tt3480796,1.872696,10000000,0,Vice,96,Thriller|Science Fiction|Action|Adventure,1/16/15,181,4.1,2015,9199995.95200178,0.0
94,94,309809,tt1754656,1.865007,64000000,97571250,The Little Prince,92,Adventure|Animation|Fantasy,7/29/15,423,7.5,2015,58879974.0928114,89765510.5031753
95,95,258509,tt2974918,1.841779,0,233755553,Alvin and the Chipmunks: The Road Chip,92,Adventure|Animation|Comedy|Family,12/17/15,278,5.7,2015,0.0,215055014.135793
96,96,298382,tt2910904,1.82313,11930000,18340000,The Dressmaker,118,Drama,10/1/15,197,6.9,2015,10975595.1707381,16872792.5759712
97,97,272693,tt1666801,1.758618,8500000,43528634,The DUFF,100,Romance|Comedy,2/20/15,753,6.8,2015,7819996.55920151,40046325.6596167
98,98,283445,tt2752772,1.742286,10000000,52882018,Sinister 2,97,Horror,8/19/15,331,5.5,2015,9199995.95200178,48651435.1533685
99,99,256961,tt3450650,1.73518,30000000,107597242,Paul Blart: Mall Cop 2,94,Action|Adventure|Comedy|Family,4/16/15,422,5.3,2015,27599987.8560053,98989419.0846556
100,100,326359,tt4007502,1.72471199999999,0,0,Frozen Fever,8,Adventure|Animation|Family,3/9/15,475,7.0,2015,0.0,0.0
101,101,254302,tt0462335,1.661789,0,0,High-Rise,119,Action|Drama|Science Fiction,9/26/15,161,5.4,2015,0.0,0.0
102,102,241251,tt3181822,1.65107799999999,4000000,50163103,The Boy Next Door,91,Thriller,1/23/15,810,3.9,2015,3679998.38080071,46150034.4539848
103,103,292040,tt3321300,1.646664,0,0,Spooks: The Greater Good,104,Thriller|Action,4/11/15,114,5.6,2015,0.0,0.0
104,104,188222,tt1674771,1.532997,30000000,49263404,Entourage,104,Comedy,6/3/15,364,6.2,2015,27599987.8560053,45322311.7381828
105,105,252838,tt0884732,1.510096,23000000,79799880,The Wedding Ringer,101,Comedy,1/16/15,446,6.5,2015,21159990.689604,73415857.2970227
106,106,273477,tt1727776,1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,93,Comedy|Horror,10/23/15,288,6.2,2015,13799993.9280026,13671898.7043645
107,107,298312,tt3567288,1.495112,5000000,98450062,The Visit,94,Horror|Thriller,9/10/15,729,5.9,2015,4599997.97600089,90574017.1874324
108,108,261023,tt1355683,1.48324599999999,53000000,99775678,Black Mass,122,Crime|Drama,9/4/15,848,6.3,2015,48759978.5456094,91793583.3708233
109,109,336004,tt3276924,1.449072,8900000,50136,Heist,93,Crime|Action|Thriller,11/13/15,233,5.4,2015,8187996.39728158,46125.0997049561
110,110,287903,tt3850590,1.448002,15000000,61548707,Krampus,98,Horror|Comedy|Fantasy,11/26/15,342,5.9,2015,13799993.9280026,56624785.5250943
111,111,182560,tt2402101,1.443406,20000000,208588,Dark Places,113,Drama|Mystery|Thriller,3/31/15,322,5.7,2015,18399991.9040035,191900.875563614
112,112,192141,tt1781922,1.41239,5000000,54418872,No Escape,103,Action|Thriller,8/26/15,519,6.7,2015,4599997.97600089,50065340.2112503
113,113,308639,tt3850214,1.40805,700000,17986781,Dope,103,Crime|Drama|Comedy,6/19/15,448,7.3,2015,643999.716640124,16547831.2389542
114,114,261392,tt3316948,1.388251,28000000,28208085,American Ultra,96,Comedy|Action,8/19/15,695,5.9,2015,25759988.6656049,25951426.7813722
115,115,304357,tt2404425,1.388032,11000000,61619773,Woman in Gold,120,Drama,4/10/15,277,7.3,2015,10119995.5472019,56690166.2163268
116,116,297291,tt3086386,1.38032,0,0,The Scorpion King: The Lost Throne,105,Action|Fantasy|Adventure,1/9/15,22,4.5,2015,0.0,0.0
117,117,266294,tt1850457,1.376605,30000000,105011053,Sisters,118,Comedy,12/18/15,399,5.9,2015,27599987.8560053,96610126.2515444
118,118,227719,tt2436386,1.360926,12000000,32248241,Project Almanac,106,Science Fiction|Thriller,1/30/15,637,6.3,2015,11039995.1424021,29668368.6659177
119,119,86828,tt1727770,1.360827,0,5189646,Absolutely Anything,85,Comedy|Science Fiction,6/26/15,199,5.8,2015,0.0,4774472.21923222
120,120,287948,tt2938956,1.355822,25000000,72629670,The Transporter Refueled,96,Thriller|Action|Crime,9/3/15,407,5.3,2015,22999989.8800044,66819266.9995225
121,121,201085,tt2554274,1.345982,55000000,74679822,Crimson Peak,119,Mystery|Thriller|Fantasy|Horror|Drama,10/13/15,819,6.4,2015,50599977.7360098,68705406.0096213
122,122,277355,tt1945084,1.342839,0,0,Everly,90,Thriller|Action,1/23/15,169,5.1,2015,0.0,0.0
123,123,264999,tt2268016,1.338481,14800000,122413057,Magic Mike XXL,115,Comedy|Drama|Music,7/1/15,501,6.3,2015,13615994.0089626,112619962.887216
124,124,146301,tt2473510,1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,88,Horror|Thriller,10/21/15,267,5.0,2015,9199995.95200178,71851557.1453148
125,125,223485,tt3205376,1.329702,0,229094,Slow West,84,Romance|Thriller|Western,4/16/15,229,6.6,2015,0.0,210766.387262789
126,126,294016,tt3203606,1.316239,15000000,8235661,Trumbo,124,Drama,10/27/15,273,7.2,2015,13799993.9280026,7576804.78620589
127,127,290751,tt1741273,1.315266,19500000,32189727,Secret in Their Eyes,111,Crime|Drama|Mystery,10/14/15,202,6.2,2015,17939992.1064034,29614535.8096042
128,128,309245,tt2872462,1.29314,0,2500431,Mistress America,84,Comedy,8/14/15,132,6.4,2015,0.0,2300395.50782597
129,129,228165,tt2279373,1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,93,Family|Animation,2/5/15,533,5.7,2015,68079970.0448131,286666383.306791
130,130,245706,tt2273657,1.284541,0,4719695,True Story,100,Crime|Drama|Mystery,4/17/15,354,6.0,2015,0.0,4342117.4894683
131,131,272878,tt3369806,1.278928,20000000,43967255,Max,111,Adventure|Drama|Family,6/26/15,214,7.0,2015,18399991.9040035,40449856.802063
132,132,263109,tt2872750,1.25358,0,59700000,Shaun the Sheep Movie,85,Family|Animation|Comedy|Adventure,2/5/15,340,6.9,2015,0.0,54923975.8334506
133,133,157827,tt2217859,1.251681,11000000,0,Louder Than Bombs,109,Drama,5/18/15,43,6.3,2015,10119995.5472019,0.0
134,134,321751,tt3577624,1.245224,0,1702433,A Perfect Day,106,Comedy|Drama,8/28/15,102,6.3,2015,0.0,1566237.67085542
135,135,266396,tt2515034,1.225325,40000000,10664749,The Gunman,115,Action|Drama|Crime,2/16/15,283,5.6,2015,36799983.8080071,9811564.7629115
136,136,277685,tt3713166,1.191138,1000000,62882090,Unfriended,82,Horror|Thriller,4/17/15,643,5.6,2015,919999.595200178,57851497.3453411
137,137,268920,tt2967224,1.178831,35000000,51680201,Hot Pursuit,87,Action|Crime|Comedy,5/8/15,472,5.5,2015,32199985.8320062,47545763.9998638
138,138,280092,tt3195644,1.164724,10000000,104303851,Insidious: Chapter 3,97,Drama|Horror|Thriller,6/4/15,610,6.3,2015,9199995.95200178,95959500.6978197
139,139,193687,tt1598642,1.161812,0,118483,Z for Zachariah,97,Drama|Science Fiction|Thriller,8/13/15,181,5.5,2015,0.0,109004.312038102
140,140,300803,tt3829170,1.144808,0,0,Dragonheart 3: The Sorcerer's Curse,97,Action|Adventure|Fantasy,2/24/15,59,4.5,2015,0.0,0.0
141,141,328589,tt3722070,1.142518,6000000,41387687,The Lady in the Van,104,Comedy|Drama,11/13/15,135,5.9,2015,5519997.57120106,38076655.2862716
142,142,228066,tt1976009,1.138395,40000000,34227298,Victor Frankenstein,109,Drama|Science Fiction|Thriller,11/10/15,408,5.5,2015,36799983.8080071,31489100.3047958
143,143,378373,tt3532278,1.128081,0,0,Brothers of the Wind,98,Adventure|Drama|Family,12/24/15,11,7.5,2015,0.0,0.0
144,144,291270,tt2401878,1.125239,8000000,3759286,Anomalisa,90,Animation|Comedy|Drama|Romance,12/30/15,259,6.7,2015,7359996.76160142,3458541.59824169
145,145,294963,tt2494362,1.073349,1800000,0,Bone Tomahawk,132,Horror|Western|Adventure|Drama,10/23/15,220,6.3,2015,1655999.27136032,0.0
146,146,241257,tt3319920,1.065888,0,17671101,Regression,106,Horror|Mystery|Thriller,10/1/15,310,5.2,2015,0.0,16257405.7667414
147,147,245698,tt1596345,1.063055,0,0,Pawn Sacrifice,114,Drama,9/16/15,148,6.6,2015,0.0,0.0
148,148,353326,tt0787524,1.046518,0,11472454,The Man Who Knew Infinity,108,Drama,9/17/15,104,7.1,2015,0.0,10554653.0359526
149,149,346808,tt3181776,1.041922,20000000,0,Momentum,96,Thriller|Action,8/1/15,100,5.8,2015,18399991.9040035,0.0
150,150,250124,tt3172532,1.03839,2000000,1477002,The Diary of a Teenage Girl,102,Drama|Romance,8/7/15,186,6.8,2015,1839999.19040035,1358841.24210985
151,151,290637,tt3733778,1.036825,0,0,Pay the Ghost,94,Horror|Thriller,9/16/15,114,5.3,2015,0.0,0.0
152,152,244458,tt1567437,1.02762,0,0,The Voices,101,Horror|Thriller|Comedy|Crime,2/6/15,371,6.0,2015,0.0,0.0
153,153,308504,tt2493486,1.021441,0,3643591,Last Knights,115,Action|Adventure,4/3/15,237,6.3,2015,0.0,3352102.24507501
154,154,314405,tt3278330,1.008474,12000000,0,Il racconto dei racconti,125,Romance|Fantasy|Horror,5/14/15,211,5.7,2015,11039995.1424021,0.0
155,155,282984,tt3715320,1.007054,11000000,27391084,Irrational Man,95,Mystery|Drama,7/17/15,319,6.1,2015,10119995.5472019,25199786.192094
156,156,157843,tt1837636,0.973316,15000000,0,Queen of the Desert,128,Drama|History,9/3/15,30,6.0,2015,13799993.9280026,0.0
157,157,275601,tt3623726,0.956096,18000000,41325328,Ricki and the Flash,100,Comedy|Drama|Music,7/10/15,152,5.5,2015,16559992.7136032,38019285.0315145
158,158,290762,tt2245003,0.953647,0,0,Miss You Already,112,Comedy|Drama|Romance,9/12/15,139,7.2,2015,0.0,0.0
159,159,251516,tt3472226,0.953046,630019,0,Kung Fury,31,Action|Comedy|Science Fiction|Fantasy,5/28/15,487,7.7,2015,579617.224968421,0.0
160,160,304372,tt3862750,0.950793,12000000,60273173,The Perfect Guy,100,Drama|Thriller,9/11/15,122,5.6,2015,11039995.1424021,55451294.7614303
161,161,324807,tt2056771,0.938432,0,1936524,A Bigger Splash,120,Crime|Drama|Mystery|Thriller,11/26/15,69,5.8,2015,0.0,1781601.29609542
162,162,252512,tt1791682,0.93762,10000000,7587485,While We're Young,97,Drama|Comedy,3/27/15,265,5.9,2015,9199995.95200178,6980483.12858742
163,163,257091,tt2561572,0.927339,40000000,106511453,Get Hard,100,Comedy,3/26/15,661,5.9,2015,36799983.8080071,97990493.6441828
164,164,228968,tt2917388,0.91704,0,0,Kidnapping Mr. Heineken,95,Drama|Action|Crime|Thriller,3/12/15,131,5.8,2015,0.0,0.0
165,165,347969,tt2479478,0.913085,60000000,0,The Ridiculous 6,119,Comedy|Western,12/11/15,252,4.8,2015,55199975.7120106,0.0
166,166,237756,tt2393845,0.90686,0,0,Kill Me Three Times,90,Comedy|Thriller,4/10/15,96,5.1,2015,0.0,0.0
167,167,293646,tt2006295,0.906036,25000000,24902723,The 33,120,History|Drama,8/6/15,262,5.8,2015,22999989.8800044,22910495.0793821
168,168,245168,tt3077214,0.898295999999999,14000000,16002420,Suffragette,106,Drama|History,10/16/15,231,7.1,2015,12879994.3328024,14722219.9222232
169,169,311291,tt3544082,0.894477,0,0,45 Years,95,Drama,8/28/15,167,6.0,2015,0.0,0.0
170,170,301351,tt3787590,0.880937999999999,6000000,11122090,We Are Your Friends,96,Drama|Music|Romance,8/26/15,412,6.2,2015,5519997.57120106,10232318.2977799
171,171,248574,tt1731701,0.880268,0,6075,Barely Lethal,96,Adventure|Action|Comedy,4/30/15,215,5.5,2015,0.0,5588.99754084108
172,172,225728,tt2884018,0.874641,0,13192457,Macbeth,113,History|Drama|War,8/16/15,269,6.4,2015,0.0,12137055.0996957
173,173,326425,tt4382872,0.872149,0,16775,Extraction,83,Action|Thriller,12/18/15,57,4.2,2015,0.0,15432.9932094829
174,174,342474,tt3289712,0.861179,0,0,Jenny's Wedding,94,Comedy|Drama,7/31/15,92,5.2,2015,0.0,0.0
175,175,277217,tt3440298,0.848748,0,0,Descendants,112,Music|Action|Adventure|Comedy|Family,7/31/15,262,6.7,2015,0.0,0.0
176,176,207936,tt2338424,0.843174,0,0,Tumbledown,105,Music|Romance|Comedy,4/18/15,22,6.6,2015,0.0,0.0
177,177,250734,tt2935476,0.842202,0,30229977,Far from the Madding Crowd,119,Romance|Drama,5/1/15,220,6.9,2015,0.0,27811566.6029106
178,178,249688,tt3416744,0.836940999999999,0,3002884,The End of the Tour,106,Drama,7/31/15,126,7.3,2015,0.0,2762652.06443309
179,179,268238,tt2555736,0.832487,10000000,85978266,The Second Best Exotic Marigold Hotel,122,Drama|Comedy,2/26/15,196,6.4,2015,9199995.95200178,79099969.9160132
180,180,256962,tt1810683,0.829111,20000000,6420319,Little Boy,106,Comedy|Drama|War,4/23/15,113,7.1,2015,18399991.9040035,5906690.88105601
